id;aktion;stufe;fach;bereich;typ;kategorie;grund;ersatz
PX-R-104;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-042 (Schriftform der Befristung) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-042
PX-R-107;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-071 (einfaches und qualifiziertes Zeugnis) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-071
PX-R-120;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;"Dublette zu PX-R-175 (Zustimmungsfiktion § 8 Abs. 5 TzBfG); Formangabe zudem veraltet – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise)";PX-R-175
PX-R-136;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-069 (Nachweispflicht nach dem NachwG) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-069
PX-R-151;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-042 (Schriftform der Befristung) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-042
PX-R-152;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu PX-R-034 (ordentliche Kündbarkeit befristeter Verträge) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);PX-R-034
PX-R-160;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu PX-R-201 (Zustimmung des Integrationsamts bei außerordentlicher Kündigung) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);PX-R-201
PX-R-174;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu PX-R-119 (Voraussetzungen des Teilzeitanspruchs, dort als offene Aufgabe) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);PX-R-119
PX-R-231;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-019 (Anwendbarkeit des KSchG) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-019
R-AR-047;gelöscht;Querschnitt;1;Arbeitsrecht;mc;Dublette;"Dublette zu Z-AB-122 (fachübergreifend): gleiche MC zur Höchstarbeitszeit Jugendlicher nach § 8 JArbSchG; Z-AB-122 fragt täglich und wöchentlich ab und hat die stärkeren Distraktoren (u. a. 8,5-Stunden-Regel); Fünf-Tage-Woche in Z-AB-122 übernommen";Z-AB-122
R-AR-052;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;nicht prüfungsrelevant / überholt;"nicht prüfungsrelevant: Betriebsübergang in keiner RE-Prüfung 2014–2025; Kernaussage (§ 613a Abs. 4 BGB) in die Erklärung von R-AR-051 übernommen";R-AR-051
R-AR-053;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;nicht prüfungsrelevant / überholt;"nicht prüfungsrelevant (Detail Widerspruchsrecht § 613a Abs. 6 BGB); in die Erklärung von R-AR-051 übernommen";R-AR-051
R-AR-064;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;nicht prüfungsrelevant / überholt;nicht prüfungsrelevant: nachvertragliches Wettbewerbsverbot (§ 74 HGB) in keiner Prüfung gefragt;
R-AR-074;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;nicht prüfungsrelevant / überholt;"nicht prüfungsrelevant (Sittenwidrigkeit § 138 BGB); Nichtigkeit und Vollzug fehlerhafter Arbeitsverträge in R-AR-073 abgedeckt";R-AR-073
R-AR-101;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;"Dublette zu R-AR-009 (Grundkündigungsfrist); zudem ohne w – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise)";R-AR-009
R-AR-102;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-013 (Kündigungsfrist in der Probezeit) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-013
R-AR-103;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-016 (Erklärungsfrist § 626 Abs. 2 BGB) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-016
R-AR-104;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-020 (Klagefrist § 4 KSchG) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-020
R-AR-105;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-041 (sachgrundlose Befristung) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-041
R-AR-106;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-030 (Mindesturlaub 24 Werktage) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-030
R-AR-107;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-045 (Teilzeitanspruch § 8 TzBfG) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-045
R-AR-108;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-038 (Mutterschutzfristen) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-038
R-AR-109;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-067 (Dauer der Elternzeit) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-067
R-AR-111;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-022 (Funktion der Abmahnung) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-022
R-AR-113;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-051 (§ 613a BGB) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-051
R-AR-114;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;nicht prüfungsrelevant / überholt;"nicht prüfungsrelevant (Widerspruchsfrist § 613a Abs. 6 BGB); in der Erklärung von R-AR-051 enthalten";R-AR-051
R-AR-117;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;"nicht prüfungsrelevant (Karenzentschädigung § 74 Abs. 2 HGB); zudem Dublette zu R-AR-064";
R-AR-119;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-060 (keine Haftung bei leichtester Fahrlässigkeit) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-060
R-AR-122;gelöscht;Themenpaket R-A;1;Arbeitsrecht;mc;Dublette;Dublette zu R-AR-065 (Pflegezeit sechs Monate) – nach der Variationsregel erneut geprüft: dieselbe Aufgabe (gleicher Wissenspunkt, gleiche Frageweise);R-AR-065
PX-R-007;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-012;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"Wiederhergestellt als Variation (Anwendung im Fall mit Rechtsgrundlage; R-AR-035 fragt nur die Dauer); Sachverhalt vervollständigt (Wartezeit erfüllt, unverschuldeter Privatunfall), w ergänzt";
PX-R-021;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-022;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-023;korrigiert;Themenpaket R-A / Zusammenführung;1;Arbeitsrecht;mc;;"w fehlten | Widerspruch geklärt (per Websuche): Die Ausnahme gilt nicht für jeden Tendenzbetrieb, sondern nur, wenn die Tendenz die Koalition betrifft (Gewerkschaft oder Arbeitgeberverband als Arbeitgeber), wie in der Dublettenfassung; Art. 9 Abs. 3 GG und Recht zur wahrheitswidrigen Antwort ergänzt";
PX-R-024;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-025;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-026;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-028;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"Wiederhergestellt und abgewandelt: Fortsetzungserkrankung innerhalb von sechs Monaten (Anrechnung) als Gegenstück zu PX-R-187 (neuer Anspruch nach mehr als sechs Monaten); w ergänzt";
PX-R-030;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-032;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"Wiederhergestellt als Variation (Anwendung im Fall und Abgrenzung Probezeit/Wartezeit; R-AR-019 fragt die Voraussetzungen abstrakt); in eine Handlungssituation umgeformt, w ergänzt";
PX-R-033;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;w fehlten;
PX-R-034;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; außerordentliche Kündigung in der Erklärung ergänzt (Inhalt der gelöschten Dublette PX-R-152); Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-036;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;w fehlten;
PX-R-048;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Rechtsgrundlage der Formfreiheit (§ 105 GewO) und Nachweispflicht im Transportgewerbe ergänzt; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-049;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"Rechtsänderung (BVaDiG, seit 1.8.2024): Vertragsabfassung in Textform statt schriftlicher Niederschrift; w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-050;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-051;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"Grammatikfehler im Fragetext („der fehlende Vertretungsmacht“); w fehlten; Haftung des Vertreters ergänzt; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-052;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc→open;;"trivialer Verneinungs-MC (Betriebsergebnis als Lösung) durch prüfungsnahe offene Aufgabe ersetzt (IHK Nov. 2024 Aufg. 1d); Rechtsstand 2026 (Schriftform im Transportgewerbe)";
PX-R-053;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-054;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;w fehlten (Umlaut-Hinweis „Beweissicher“ ist korrekt geschrieben);
PX-R-056;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-057;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;w fehlten;
PX-R-059;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Wortlaut an die geltende Fassung des § 8 TVG angepasst („bekanntzumachen“); Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-061;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-066;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-067;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Normzitate präzisiert; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-068;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Beteiligung der Schwerbehindertenvertretung und Mindestkündigungsfrist ergänzt; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-075;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc→open;;"Überschneidung mit R-AR-042 (MC); in prüfungsnahe offene Aufgabe umgewandelt (IHK Mai 2020 und Mai 2024 Aufg. 1c); Rechtsänderungen (BBiG 2024, AÜG 2025) berücksichtigt; Erklärung war fehlerhaft („nur die Befristungsabrede“)";
PX-R-076;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-077;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-082;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-083;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"Normzitat falsch (§ 15 Abs. 5 statt Abs. 6 TzBfG – Nummerierung seit 2022); w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-084;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-086;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-093;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-094;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-095;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-096;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-100;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Sachverhalt präzisiert (Frist für beide Seiten); Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-102;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"Sachverhalt fehlerhaft („verneint“ – gemeint ist die wahrheitswidrige Bejahung); w fehlten; Anfechtungsfrist und Verhältnis zum Mutterschutz ergänzt; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-105;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-106;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"zur prüfungsnahen Fallgestaltung erweitert (Feiertag nach unentschuldigtem Fehlen, § 2 Abs. 3 EFZG – IHK Mai 2022 Aufg. 1b); w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-108;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;w fehlten;
PX-R-109;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"Wiederhergestellt als Variation (passendes Instrument im Fall erkennen und von § 8 TzBfG, Eltern- und Pflegezeit abgrenzen; R-AR-046 fragt den Regelungsinhalt); in eine Handlungssituation umgeformt, w ergänzt";
PX-R-110;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; richtige Option präzisiert (einvernehmliche Rückkehr bleibt möglich); Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-112;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Erklärung präzisiert (Voraussetzungen der Verlängerung, keine unbegrenzte Kettenbefristung mit Sachgrund)";
PX-R-113;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"richtige Option unklar formuliert („Existenzrecht“) – präzisiert; w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-119;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc→open;;"Überschneidung mit R-AR-045 (MC); in prüfungsnahe offene Aufgabe umgewandelt (IHK Nov. 2017, Mai 2018, Mai 2021 Aufg. 1a)";
PX-R-127;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-128;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Frist für den Vorbehalt präzisiert (spätestens drei Wochen); Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-135;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc→open;;MC mit subjektiver Fragestellung („am besten planbar“) nicht eindeutig lösbar – in prüfungsnahe offene Aufgabe umgewandelt (IHK Mai 2020 Aufg. 2);
PX-R-140;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Rechtsprechung (LAG Schleswig-Holstein 2025) und Kostenbeteiligung der Krankenkasse ergänzt; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-143;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; unplausible Distraktoren (Winterhalbjahr, Sonnenaufgang) durch typische Denkfehler ersetzt; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-144;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"fachlich falsch: Verspätungen und unentschuldigtes Fehlen gelten als gleichartige Verletzungen der Arbeitspflicht, die Abmahnungen sind einschlägig – Lösung, Distraktoren und Erklärung neu; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-145;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-146;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-153;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet; Distraktor „Betriebstreue“ (entspricht der Betriebszugehörigkeit) ersetzt";
PX-R-161;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-162;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"prüfungsnah umgestellt (IHK Nov. 2018 Aufg. 2b fragt beide schuldrechtlichen Pflichten); Überschneidung mit PX-R-058 (Friedenspflicht) beseitigt; w ergänzt";
PX-R-165;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-175;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"Formvorschrift aktualisiert (Ablehnung in Textform statt schriftlich, § 8 Abs. 5 TzBfG); w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-176;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-184;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-187;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Sachverhalt ergänzt (privater Unfall), damit der Distraktor „Verletztengeld“ eindeutig falsch ist; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-190;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-191;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-201;korrigiert;Themenpaket R-A / Zusammenführung;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar) | Zustimmungsfiktion nach zwei Wochen (§ 174 Abs. 3 SGB IX) aus der Dublettenfassung ergänzt; Optionen der Paketfassung beibehalten";
PX-R-202;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-204;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Beginn des Kündigungsschutzes nach § 18 BEEG präzisiert; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-205;korrigiert + umsortiert;Themenpaket R-B / Querschnitt;1;Arbeitsrecht;mc;von Recht · Arbeitsschutz;"Arbeitszeit-, Jugend- und Mutterschutz führt die App unter Arbeitsrecht (vgl. R-AR-025 ff., PX-R-095/096 im Nachbarpaket); umsortiert, w ergänzt. Optionen gleich gebaut und in der Länge angeglichen (richtige Option war auffällig länger). | Verdachtsfall PX-R-205 ↔ PX-R-095: beide fragten „Beginn 6 Uhr → erste Pause um 12 Uhr“; PX-R-095 bleibt als Spiegel zu PX-R-096 (Jugendliche), PX-R-205 mit anderer Schichtlage (7–17 Uhr) zur echten Variation gemacht";
PX-R-206;korrigiert + umsortiert;Themenpaket R-B;1;Arbeitsrecht;mc;von Recht · Arbeitsschutz;"Arbeitszeit-, Jugend- und Mutterschutz führt die App unter Arbeitsrecht (vgl. R-AR-025 ff., PX-R-095/096 im Nachbarpaket); umsortiert, w ergänzt. Hinweis auf VO (EG) 561/2006 für Fahrer ergänzt. Richtige Option gekürzt (war auffällig länger als die Distraktoren), Begründung in die Erklärung verlagert.";
PX-R-207;korrigiert + umsortiert;Themenpaket R-B;1;Arbeitsrecht;mc;von Recht · Arbeitsschutz;"Arbeitszeit-, Jugend- und Mutterschutz führt die App unter Arbeitsrecht (vgl. R-AR-025 ff., PX-R-095/096 im Nachbarpaket); umsortiert, w ergänzt. Richtige Option gekürzt (war auffällig länger als die Distraktoren), Begründung in die Erklärung verlagert.";
PX-R-216;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-217;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"richtige Option deutlich länger als die Distraktoren – gekürzt; w fehlten; Erklärung ohne Bezug auf den damaligen Prüfungszeitpunkt; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-219;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"w fehlten; Beteiligung der Schwerbehindertenvertretung ergänzt; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-221;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"Sachverhalt präzisiert (Täuschung auf zulässige Frage statt bloßen Verschweigens); w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
PX-R-222;korrigiert;Themenpaket R-A;1;Arbeitsrecht;mc;;"Sachverhalt präzisiert (wahrheitswidrige Antwort auf zulässige Frage); richtige Option gekürzt; w fehlten; Optionen längengleich gestaltet (richtige Option war am Wortlaut erkennbar)";
